,narrative
8365,reviewing notice of motion re: enforcing foreign judgment
8366,proofing affidavit re: refusals
8367,briefing factum re: disqualifying expert
8368,proofing affidavit re: enforcing foreign judgment
8369,proofing motion record re: injunction
8370,reviewing analysis re: enforcing foreign judgment
8371,drafting book of authority re: injunction
8372,revising affidavit re: injunction
8373,preparing order re: summary judgment
8374,analyzing analysis re: injunction
8375,researching motion record re: disqualifying expert
8376,briefing order re: injunction
8377,drafting motion record re: summary judgment
8378,proofing notice of motion re: enforcing foreign judgment
8379,briefing analysis re: disqualifying expert
8380,writing book of authority re: injunction
8381,editing notice of motion re: enforcing foreign judgment
8382,drafting memo re: motion to strike
8383,analyzing order re: enforcing foreign judgment
8384,revising memo re: enforcing foreign judgment
8385,preparing memorandum re: motion to strike
8386,drafting affidavit re: enforcing foreign judgment
8387,writing memorandum re: injunction
8388,analyzing motion record re: motion to strike
8389,drafting factum re: injunction
8390,writing affidavit re: motion to strike
8391,analyzing motion record re: summary judgment
8392,editing memo re: injunction
8393,researching book of authority re: enforcing foreign judgment
8394,writing memorandum re: summary judgment
8395,revising book of authority re: motion to strike
8396,writing motion record re: motion to strike
8397,writing motion record re: injunction
8398,drafting memorandum re: refusals
8399,drafting notice of motion re: summary judgment
8400,proofing affidavit re: disqualifying expert
8401,researching notice of motion re: disqualifying expert
8402,drafting memorandum re: disqualifying expert
8403,proofing book of authority re: disqualifying expert
8404,briefing memo re: summary judgment
8405,writing factum re: injunction
8406,editing memo re: motion to strike
8407,briefing order re: disqualifying expert
8408,revising memorandum re: refusals
8409,reviewing memo re: disqualifying expert
8410,reviewing analysis re: refusals
8411,reviewing analysis re: refusals
8412,editing notice of motion re: motion to strike
8413,proofing book of authority re: refusals
8414,revising compendium re: enforcing foreign judgment
8415,drafting order re: summary judgment
8416,proofing memorandum re: motion to strike
8417,revising book of authority re: disqualifying expert
8418,briefing affidavit re: summary judgment
8419,editing motion record re: motion to strike
8420,writing order re: summary judgment
8421,drafting factum re: refusals
8422,researching notice of motion re: enforcing foreign judgment
8423,researching memorandum re: disqualifying expert
8424,preparing memorandum re: injunction
8425,analyzing affidavit re: refusals
8426,preparing analysis re: summary judgment
8427,researching order re: enforcing foreign judgment
8428,researching analysis re: injunction
8429,preparing affidavit re: injunction
8430,analyzing order re: enforcing foreign judgment
8431,writing factum re: summary judgment
8432,editing memorandum re: motion to strike
8433,writing affidavit re: motion to strike
8434,drafting memorandum re: injunction
8435,reviewing order re: refusals
8436,revising order re: refusals
8437,researching memo re: disqualifying expert
8438,drafting analysis re: summary judgment
8439,preparing notice of motion re: injunction
8440,proofing memo re: summary judgment
8441,researching analysis re: motion to strike
8442,drafting affidavit re: refusals
8443,briefing book of authority re: refusals
8444,analyzing analysis re: refusals
8445,briefing analysis re: enforcing foreign judgment
8446,proofing memorandum re: motion to strike
8447,briefing memorandum re: disqualifying expert
8448,drafting memorandum re: enforcing foreign judgment
8449,reviewing order re: refusals
8450,researching motion record re: motion to strike
8451,reviewing notice of motion re: disqualifying expert
8452,revising memorandum re: refusals
8453,analyzing order re: refusals
8454,editing memo re: injunction
8455,proofing compendium re: disqualifying expert
8456,revising compendium re: summary judgment
8457,preparing compendium re: injunction
8458,reviewing notice of motion re: summary judgment
8459,editing motion record re: disqualifying expert
8460,analyzing compendium re: injunction
8461,revising compendium re: disqualifying expert
8462,proofing motion record re: refusals
8463,researching book of authority re: summary judgment
8464,reviewing notice of motion re: refusals
8465,drafting affidavit re: refusals
8466,briefing notice of motion re: injunction
8467,analyzing affidavit re: summary judgment
8468,drafting factum re: motion to strike
8469,analyzing memorandum re: disqualifying expert
8470,reviewing compendium re: summary judgment
8471,analyzing book of authority re: refusals
8472,writing motion record re: injunction
8473,revising motion record re: disqualifying expert
8474,researching analysis re: enforcing foreign judgment
8475,editing analysis re: disqualifying expert
8476,briefing order re: disqualifying expert
8477,proofing affidavit re: motion to strike
8478,proofing memorandum re: disqualifying expert
8479,editing order re: motion to strike
8480,reviewing memo re: enforcing foreign judgment
8481,briefing motion record re: enforcing foreign judgment
8482,reviewing compendium re: disqualifying expert
8483,writing book of authority re: motion to strike
8484,revising compendium re: enforcing foreign judgment
8485,reviewing order re: summary judgment
8486,researching affidavit re: summary judgment
8487,drafting memo re: refusals
8488,drafting motion record re: summary judgment
8489,reviewing motion record re: summary judgment
8490,reviewing affidavit re: enforcing foreign judgment
8491,writing notice of motion re: disqualifying expert
8492,analyzing memorandum re: enforcing foreign judgment
8493,editing order re: summary judgment
8494,reviewing memorandum re: refusals
8495,researching motion record re: motion to strike
8496,proofing order re: motion to strike
8497,reviewing analysis re: injunction
8498,researching motion record re: injunction
8499,editing affidavit re: enforcing foreign judgment
8500,reviewing memo re: injunction
8501,writing notice of motion re: refusals
8502,analyzing analysis re: motion to strike
8503,editing affidavit re: motion to strike
8504,preparing analysis re: injunction
8505,analyzing affidavit re: disqualifying expert
8506,drafting memorandum re: summary judgment
8507,preparing memo re: injunction
8508,analyzing book of authority re: refusals
8509,researching compendium re: motion to strike
8510,proofing memorandum re: refusals
8511,preparing compendium re: enforcing foreign judgment
8512,editing compendium re: summary judgment
8513,preparing order re: refusals
8514,editing compendium re: enforcing foreign judgment
8515,analyzing memo re: injunction
8516,analyzing factum re: motion to strike
8517,editing compendium re: injunction
8518,writing compendium re: refusals
8519,preparing motion record re: disqualifying expert
8520,proofing memorandum re: motion to strike
8521,reviewing analysis re: enforcing foreign judgment
8522,preparing notice of motion re: motion to strike
8523,proofing notice of motion re: summary judgment
8524,drafting affidavit re: disqualifying expert
8525,revising analysis re: motion to strike
8526,revising motion record re: injunction
8527,researching affidavit re: motion to strike
8528,drafting compendium re: motion to strike
8529,briefing notice of motion re: refusals
8530,reviewing book of authority re: refusals
8531,revising book of authority re: disqualifying expert
8532,researching notice of motion re: refusals
8533,writing memorandum re: motion to strike
8534,researching affidavit re: summary judgment
8535,briefing notice of motion re: motion to strike
8536,revising memorandum re: disqualifying expert
